auteur,references
John March-Russell,"[9201063, 9202003, 9510223, 9808138, 9809124, 9908146, 203170]"
J.L.F. Barbón,[9201064]
Yoichiro Matsumura,"[9201065, 9201066, 9504150]"
 Norisuke Sakai,"[9201065, 9201066, 9304010, 9504150, 9509143, 9603173, 9606157, 9802004, 9910095, 4188, 9023, 12182, 107204, 108179, 109087, 112244, 208127, 209232, 211103, 212175]"
 Yoshiaki Tanii,"[9201065, 9201066]"
G. W. Delius,"[9201067, 109115, 204076]"
 M.T. Grisaru,"[9201067, 9202069, 9205012, 9205093, 9307027, 9509021, 9601115, 9608125, 9706013, 9708042, 9809085, 9192, 211017]"
D. Zanon,"[9201067, 9202069, 9302134, 9403194, 9407069, 9501105, 9501126, 9512174, 9605124, 9702051, 9703081, 9801111, 9907214, 9910197, 3026, 4077, 104141, 211017]"
M. Martellini,"[9201068, 9201069, 9204032, 9207059, 9212079, 9212080, 9307105, 9407097, 9411088, 9502023]"
 M. Spreafico,"[9201068, 9201069, 9212080, 9502023]"
K. Yoshida,"[9201068, 9201069, 9212080, 9212130, 9212131, 9212132, 9304018, 9307105, 9812022, 12111, 110104]"
E.Nissimov,[9201070]
 S.Pacheva,[9201070]
I.Vaysburd,[9201070]
N. Chair,"[9201071, 9037]"
 V.K. Dobrev,"[9201071, 9303115]"
H. Kanno,"[9201071, 9207078, 9903260, 304184]"
Shamit Kachru,"[9201072, 9204053, 9307038, 9406090, 9406091, 9501111, 9501131, 9505105, 9508096, 9603059, 9608194, 9612162, 9704185, 9705173, 9712035, 9803050, 9807076, 9907038, 9908135, 9912151, 1206, 2121, 6047, 103223, 112197, 201028, 211182, 301240]"
Alex Lyons,[9201073]
 L. Susskind,"[9201074, 9206070, 9209012, 9305030, 9402136, 9609075, 9610043, 5015, 5040, 10105, 11164]"
L. Thorlacius,"[9201074, 9203054, 9206070, 9209012, 9305030, 9308100, 9312017, 9402125, 9404008, 9405084, 9408134, 9510200, 9607113, 9803097, 9903237, 204058]"
K.Amano,[9201075]
S.Higuchi,"[9201075, 9409157]"
Mark Doyle (Princeton University),[9201076]
Vl.S.Dotsenko,"[9201077, 9205065]"
Philip C. Argyres,"[9201078, 9202007, 9305093, 9310131, 9311131, 9411057, 9505062, 9505190, 9509175, 9608129, 9706095, 9804007, 9806234, 9808138, 9910125, 9911255, 101114, 101139, 102006, 204127]"
 Keith R. Dienes,[9201078]
S.-H. Henry Tye,"[9201078, 9202002, 9202007, 9310131, 9310160, 9311131, 9512155, 9512156, 9601176, 9605221, 9607137, 9607138, 9609027, 9704113, 9803141, 9804092, 9805157, 9806143, 9808095, 9809147, 9907203, 6068, 106274, 204074, 211180]"
M. Bauer,"[9201079, 9405028, 9604104]"
N. Sochen,"[9201079, 9406076]"
P. Furlan,"[9201080, 9308038, 9403075, 9608018, 9709103, 3210, 7219, 110017, 211154]"
 A. Ch. Ganchev,[9201080]
 R. Paunov,[9201080]
 V. B. Petkova,"[9201080, 9906139]"
N. Read,"[9202001, 106124, 201240]"
G. Moore,"[9202001, 9203060, 9305139, 9409044, 9510182, 9608145, 9803265, 9808060, 9907026]"
Stephen-wei Chung,"[9202002, 9305080]"
S.B. Giddings,"[9202004, 9203059, 9204072, 9304027, 9305083, 9306041, 9309152, 9310101, 2091, 103231]"
A. Strominger,"[9202004, 9203042, 9209055, 9211030, 9302080, 9305083, 9312017, 9405084, 9501022, 9504047, 9507168, 9601029]"
David Gershon,"[9202005, 9210160, 9311122, 9312154]"
 James M. Grochocinski,[9202007]
Petr Horava,"[9202008, 9203031, 9302020, 9309124, 9311156, 9404101, 9510209, 9603142, 9811028, 9812135, 1145]"
Y. Imamura,"[9202009, 105263]"
 M. Sakamoto,[9202009]
 T. Sasada,[9202009]
M. Tabuse,[9202009]
G. Nagao,"[9202010, 9202027]"
P. Fendley,"[9202011, 9204094, 9304050, 9304051, 9310058, 9402045, 9406125, 9409176]"
K. Intriligator,"[9202011, 9403198, 9408155, 9503179, 9505006, 9505051, 9506084, 9506148, 9509066, 9607207, 9702198]"
Satoshi Iso,"[9202012, 9209003, 9312001, 9411051, 1027, 212284]"
 Dimitra Karabali,"[9202012, 9209003]"
B. Sakita,"[9202012, 9209003, 9304033, 9307087, 9603024]"
V.Spiridonov,"[9202013, 9208073, 9210097, 9303004, 9304107]"
C.F.E. Holzhey,[9202014]
F. Wilczek,"[9202014, 9403108]"
Noah Linden,[9202016]
Malcolm Perry,"[9202016, 9302120, 9311005, 9512222, 9611065, 106008]"
Sheldon Katz,"[9202017, 9412117, 9510218, 9601108, 9606086, 9609239, 9611090, 9910181, 208104]"
Bernd Bruegmann,"[9202018, 9203040, 9401055]"
 Rodolfo Gambini,"[9202018, 9203040, 9307179, 9309136, 9508036]"
 Jorge Pullin,"[9202018, 9203040, 9508036]"
Shahar Ben-Menahem (SLAC),[9202019]
F.Ravanini,"[9202020, 9207040, 9207069]"
Erik Verlinde,"[9202021, 9302022, 9302104, 9503120, 9506011, 9912058, 5003, 8140, 102042, 209120]"
Lee Smolin,"[9202022, 9202054, 9202076, 9202079, 9203041, 9203079, 9703174, 9710191, 9712148, 9801022, 9808191, 9808192, 9809161, 9903166, 9904016, 9910146, 2009, 3056, 3285, 6137, 9018, 104050, 106097, 112090, 201031, 209079, 303185]"
Richard H. Price,[9202023]
Jorge Pullin,"[9202023, 9301028, 9602165]"
Christopher Ting,"[9202024, 9205017, 9706101]"
C. H. Lai,"[9202024, 9205017]"
J.W. van Holten,"[9202025, 9303112, 9303124, 9310092, 9408027, 9409140, 9503085, 9507046, 9508136, 9510021, 9511166, 9512068, 9709141, 9808147, 9903006, 8097, 201083, 201124]"
G. Ferretti,"[9202026, 9204075, 9204076, 9207039, 9209129, 9212021, 9310002, 111050]"
S.G. Rajeev,"[9202026, 9207039, 9410053, 9609109]"
Changrim Ahn,"[9202028, 9306146, 9312199, 9404152, 9501023, 9606003, 9903134, 9907072, 2213, 5170, 9250, 12223, 102024, 110218, 206210, 207012, 210208, 302093]"
Alexander Balatsky (Los Alamos National Laboratory,[9202029]
Theoretical,"[9202029, 9706201, 9807049]"
L.F. Cugliandolo,[9202030]
 G.L. Rossini,[9202030]
F.A. Schaposnik,"[9202030, 9210084, 9405163, 9602017, 9608057, 9703048, 9707210, 9803045, 9810199, 9902002, 9905051, 2236, 5109, 6248, 11205, 105085, 106181, 109186, 207180, 207230]"
S. Mignemi ,[9202031]
D.L. Wiltshire,"[9202031, 9412076, 9502054]"
Hidetoshi Awata,"[9202032, 9211087, 9812218, 9906248]"
G. Papadopoulos,"[9202033, 9202036, 9203070, 9207066, 9209017, 9303076, 9306088, 9307066, 9402079, 9406015, 9406176, 9501069, 9503063, 9505119, 9506150, 9508175, 9602108, 9603087, 9604068, 9609095, 9610099, 9611029, 9612204, 9708116, 9710072, 9712162, 9802186, 9803163, 9806191, 9811034, 9811207, 9902034, 9902166, 9905073, 9910022, 9911253, 2007, 2242, 8232, 12034, 201111, 208076, 211289]"
B. Spence,"[9202033, 9207066, 9209095, 9303076, 9306088, 9402079, 9403061, 9501078, 9505026, 9705138, 7213, 209115]"
Timothy R. Klassen,"[9202034, 9206114]"
Ezer Melzer,"[9202034, 9206114, 9304056, 9305114, 9311058, 9312043]"
Adel Bilal,"[9202035, 9205089, 9301021, 9307052, 9312108, 9401167, 9403197, 9407151, 9501033, 9503209, 9605101, 9606111, 9706145, 9805070, 9810195, 9907106, 9912150, 3129, 3180, 101055, 106062, 106246, 201183, 303243]"
P.S. Howe,"[9202036, 9203070, 9403177, 9407183, 9412147, 9505032, 9512066, 9602108, 9607060, 9607227, 9611008, 9611074, 9611075, 9702008, 9702111, 9705093, 9707139, 9707184, 9709014, 9710033, 9710034, 9710072, 9804051, 9806050, 9808162, 9810081, 9812133, 9910011, 1169, 8047, 8048, 105218, 106238, 107212, 211279]"
Dieter R. Brill,[9202037]
L. F. Cugliandolo,[9202038]
 F. A. Schaposnik,"[9202038, 9609202, 9710091, 8118]"
 H. Vucetich,[9202038]
Maximilian Kreuzer,"[9202039, 9205004, 9210053, 9211047, 9303015, 9402114, 9503174, 9912174, 2240, 103243]"
Harald Skarke,"[9202039, 9205004, 9211047, 9303151, 9407086, 9409077, 9704129, 9706226, 9806059, 2246, 104254]"
Jose M. Figueroa-O'Farrill,[9202040]
Eduardo Ramos,"[9202040, 9206040, 9303034, 9402056, 9703117, 9709131, 9807143]"
Michael Lassig,[9202041]
Marcio J.Martins,[9202042]
H.O. Girotti,"[9202043, 101159, 207220]"
 M. Gomes,"[9202043, 9210158, 9210161, 9702065, 9703200, 9810106, 9904139, 9906170, 1221, 5258, 5272, 102101, 107022, 109222, 207220, 211176, 301124]"
V.O. Rivelles,[9202043]
Amitabha Lahiri,"[9202045, 9301060, 9302046]"
Luis E. Ibanez,"[9202046, 9505098, 9802103]"
Dieter Luest,"[9202046, 9303003, 9303175, 9312025, 9504006, 9510022]"
Daniel Altschuler,[9202047]
Antoine Coste,[9202047]
Alexander Moroz,"[9202048, 9206074, 9511121]"
I.Ya.Aref'eva,"[9202049, 9205020, 9212156, 9412155, 9503031, 9510210, 9601022, 9605005, 9608132, 9612236, 9705067, 9910269, 111208, 203227, 204239, 301137]"
A.P.Zubarev,"[9202049, 9205020, 9212156, 9312120, 9503031, 9512166, 9605005]"
J.D. Cohn,"[9202050, 9205026, 9210156, 9304129]"
H. Dykstra,[9202050]
P. Berglund,[9202051]
 B.R. Greene,[9202051]
T. Hübsch,[9202051]
 W.D.McGlinn,[9202052]
 L.O'Raifeartaigh,"[9202052, 9611123]"
 S.Sen,[9202052]
 R.D.Sorkin,[9202052]
Abhay Ashtekar,"[9202053, 9202054, 9202063, 9202079, 9203079, 9205038, 9404019, 9412073, 9603083, 9605128, 9701136, 9911230]"
C.J. Isham,[9202053]
 Carlo Rovelli,"[9202054, 9202079, 9203079]"
A. Mikovic,"[9202055, 9204022, 9207006, 9211082, 9302067, 9307033, 9307157, 9402095, 9407104, 9601144, 9606098, 9704014, 9706066, 108099]"
D.B. Fairlie,"[9202056, 9305049, 9305050, 9310005, 9310006, 9406043, 9512217, 9609227, 3048]"
J. Govaerts,"[9202056, 9204074]"
Alexios P. Polychronakos,"[9202057, 9206046, 9207047, 9210109, 9303153, 9309044, 9310095, 9404192, 9411054, 9503077, 9703073, 9705047, 9806189, 9810211, 9902157, 9907064, 7043, 10264, 103013, 106011, 112141, 206013, 304135]"
Katsushi Ito,"[9202058, 9207009, 9207010, 9210143, 9302039, 9310076, 9405049, 9503165, 9507144, 9603073, 9703180, 9708017, 9712018, 9803126, 9807183, 9811002, 9906023, 9910047, 204009, 210067, 302127]"
Jens Ole Madsen,"[9202058, 9905103]"
Mary K. Gaillard,"[9202059, 9408149, 9412125, 9506149, 9606052, 9606135, 9705226, 9712103, 9806227, 9905122, 9910147, 4170, 204100, 206249]"
T.R. Taylor,"[9202059, 9211110, 9212045, 9301033, 9305064, 9307158, 9405024, 9504034, 9504143, 9510079, 9511108, 9512006, 9604062, 9604077, 9707222, 9811224, 9912152, 4095, 106244, 207026, 209064]"
X.J. Wang,"[9202060, 9203024, 9209067, 9209111, 9212117, 9301099, 9304115, 9308114]"
P. Bowcock,"[9202061, 9209105, 9309146, 9510071, 9605220, 9803024, 9907171, 9909174]"
Michael Wolf,[9202062]
Carlo Rovelli,"[9202063, 9304126, 9304164, 9910131]"
F. A. Schaposnik,"[9202064, 9901073, 9912285]"
Jean Avan,"[9202065, 9207107, 9306112, 9510166, 9512147]"
Antal Jevicki,"[9202065, 9305109, 9309115, 9504091, 9601058, 9712088, 9810146, 9902059, 9907144, 6239, 8186, 203172, 304093]"
V.G.J. Rodgers,"[9202066, 9203067, 9203068, 9401039, 9407119, 9610023, 9704101, 3250, 211021]"
R.B. Mann,"[9202068, 9205098, 9206022, 9206044, 9206100, 9208036, 9307072, 9308034, 9705223, 9801203, 9809082, 9902041, 9903229, 9904148, 102001, 103016, 105134, 201026]"
 M.S. Morris,[9202068]
S.F. Ross,"[9202068, 9205098, 9206022, 9208036, 9401131, 9504019]"
G.W. Delius,"[9202069, 9205093, 9909145, 106275]"
H. G. Kausch,[9202070]
G. M. T. Watts,"[9202070, 9906139, 107118]"
Giorgio Immirzi (Universita' di Perugia ,[9202071]
INFN Perugia,[9202071]
 Italy),"[9202071, 9303113, 9511038, 9606062, 9609042, 9610127, 9711188, 9805001, 9805051, 9810036, 9810090, 9811126, 9902202, 9902202, 9904113, 9907111, 9912263, 2115, 207242, 208200, 210129]"
X. Shen,"[9202072, 9209037]"
Peter G. O. Freund,"[9202073, 9208033, 9208063, 9305091]"
Anton V. Zabrodin,"[9202073, 9305091]"
D. Boulatov,[9202074]
Mark Alford,[9202075]
Andrew Strominger,"[9202075, 9205028, 9207034, 9210017, 9304148, 9307059, 9307079, 9403186, 9407008, 9410187, 9410215, 9502107, 9504090, 9504145, 9507158, 9508072, 9510207, 9510227, 9512059, 9602051, 9602111, 9603060, 9603109, 9606016, 9606040, 9609026, 9702015, 9703031, 9706195, 9710014, 9712251, 9804085, 9809027, 9812073, 9903163, 9907191, 9908044, 9911001, 2145, 3160, 7226, 106113, 110087, 112218, 202210, 209090, 303067, 303221]"
B. S. Balakrishna,"[9202077, 9212053, 9212158, 9304079, 9310094, 9503096]"
Kameshwar C. Wali,"[9202077, 9085]"
Zhu Yang,"[9202078, 9205043, 9207014, 9211092]"
Yukihisa Itoh,"[9202080, 9307054]"
Yoshiaki Tanii,"[9202080, 9203002, 9207063, 9208056, 9301027]"
Michiaki Takama,"[9202081, 9506165]"
Haye Hinrichsen,"[9202082, 9301056]"
Vladimir Rittenberg,"[9202082, 9301056, 9302088]"
Makoto Sakamoto,"[9202083, 9210057, 9301054, 9910200, 5017, 108208]"
Masayoshi Tabuse,"[9202083, 9202084]"
Tsutomu Horiguchi,[9202084]
 Makoto Sakamoto,"[9202084, 9909076, 105196, 111183, 212192]"
C. Callan,[9202085]
 A. Felce,[9202085]
D. Freed,"[9202085, 9803205]"
R. Saroja,[9202087]
A. Sen,[9202087]
E. Abdalla,"[9202089, 9203075, 9206054, 9301108, 9301109, 9302002, 9302032, 9307071, 9311178, 9402083, 9407128, 9407194, 9503002, 9503235, 9507114, 9507171, 9510139, 9511191, 9604063, 9704176, 9704192, 9808003, 9810052, 5143, 208065]"
 M.C.B. Abdalla,"[9202089, 9206054, 9301108, 9302002, 9307071, 9503002, 9503235, 9511191]"
 D. Dalmazi,"[9202089, 9206054, 9604184, 9607122, 11072, 107210, 201125]"
 K. Harada,[9202089]
By Matt Visser,[9202090]
Paul Ginsparg,[9202092]
Fernando Quevedo,"[9202092, 9204006, 9210021, 9305055, 9506081, 9511131, 9603074, 9604196, 9608171, 9706210]"
Jack Morse ,[9203001]
Rolf Schimmrigk,"[9203001, 9209018, 9210062, 9211001, 9211089, 9212054, 9303069, 9405086, 9412077, 9511058, 9512138, 10270, 111226, 211284]"
Shun-ichi Yamaguchi,"[9203002, 9209112, 4189, 209146]"
F. Colomo,[9203003]
 A. Koubek,[9203003]
 G. Mussardo,"[9203003, 9211053, 9303108, 9403049, 9409076, 9410117, 9503227, 9601113, 9603011, 9609080, 9705180, 2225, 107082]"
A.N. Kirillov,"[9203004, 9209114]"
 P. Mathieu,"[9203004, 9206032, 9209114, 9301075, 207201, 210182]"
 D. Senechal,[9203004]
M. Walton,"[9203004, 9503141]"
K.N. Anagnostopoulos,"[9203005, 12061]"
M. J. Bowick,[9203005]
Kiyoshi Kamimura,"[9203006, 9708001, 9712068, 9804087, 9806160, 9806161, 3211, 106202, 301083]"
 Sinobu Makita,[9203006]
Takeshi Fukuyama,[9203006]
Domenico Giulini,"[9203007, 9301101, 9406025]"
Jorma Louko,"[9203007, 9808081, 2111, 109099]"
Amit Giveon,"[9203008, 9206023, 9208076, 9302049, 9308154, 9310016, 9404184, 9406178, 9508043, 9509013, 9611152, 9701045, 9708168, 9904024, 302217]"
Alfred Shapere,"[9203008, 9305080]"
J. Ambjorn,"[9203009, 9205073, 9207020, 9208030, 9208032, 9212073, 9303041, 9303042, 9303149, 9401137, 9501049, 9606140, 9612069, 9702188, 9801099, 9802020, 9805108, 9806241, 9904012, 9906134, 9909195, 9911041, 9912267, 1124, 2158, 3208, 4147, 5147, 6243, 12092, 101084, 104260, 203185]"
 L. Chekhov,"[9203009, 9302014]"
Sudipta Mukherji,"[9203010, 9401102, 9407015, 9408063, 9609048, 9805031, 9810140, 9903012, 5093, 205164, 205180]"
Daniel Arnaudon,"[9203011, 9212067, 9302088, 9310030, 9403110]"
John Ellis,"[9203012, 9204096, 9205107, 9206077, 9207103, 9209013, 9512133, 9704169, 9706125, 9709049, 9711163, 9804084, 9805120, 9808172, 9811133, 9902190, 9906148, 105206, 206087]"
 N.E. Mavromatos,"[9203012, 9204096, 9205107, 9206077, 9207103, 9209013, 9212057, 9403133, 9503162, 9605046, 9605211, 9701087, 9701144, 9703192, 9704169, 9706125, 9711012, 9711163, 9804084, 9805120, 9903045, 9905132, 9907141, 105206, 203241, 207232]"
D.V. Nanopoulos,"[9203012, 9204096, 9205107, 9206077, 9207103, 9305116, 9503162, 9605046, 9605211, 9701144, 9709049, 9804084, 9805120, 9907141, 105206, 206087]"
T.R.Govindarajan,"[9203013, 9301124]"
 R.Shankar,"[9203013, 9301124]"
 N.Shaji,[9203013]
M.Sivakumar,"[9203013, 9301124]"
Lay Nam Chang,"[9203014, 9207056, 9406188, 9411064, 9606174, 9702171, 9905001, 111181, 201017, 303147]"
Chopin Soo,"[9203014, 9406188, 9411064, 9606174, 9702171, 9805090, 9905001, 303147]"
Nicola Maggiore,"[9203015, 9204044, 9207008, 9310111, 9412092, 9501057, 9504065, 9507045, 9511068, 9604002, 9812131]"
Paolo Provero,"[9203015, 9501104]"
Gary Kleppe,"[9203016, 9209121, 9209124]"
R. P. Woodard,[9203016]
Jouko Mickelsson,"[9203017, 9206005, 9209103, 9210069, 9306133, 9311170, 9404093, 9407193, 9412129, 9612177, 9702129, 9801136, 9903071, 9908207, 9912003, 107207, 205126, 206139]"
L. J. Romans,[9203018]
S.Dalley,"[9203019, 9206060, 9207065, 9209049, 9307053, 9309068, 9404058, 9411204, 9512106]"
J. Laartz,[9203020]
Joaquim Gomis,"[9203021, 9204065, 9303085, 9401161, 9412228, 9510087, 9803040, 9907022, 4115, 6235, 9158, 108080, 211020, 304210]"
Hiroshi Suzuki,"[9203021, 9407027, 9505084, 9608025, 9612165, 9704105, 9709018, 9801062, 9805068]"
Clifford Johnson,[9203022]
 Tim Morris,[9203022]
Bill Spence,[9203022]
G.W. Gibbons,"[9203023, 9303112, 9307049, 9310118, 9311098, 9312014, 9407118, 9506131, 9706207, 9803163, 9806017, 9812034, 9909130, 9911101, 3197, 101229, 108191, 208031, 301117, 302149, 302199]"
 M.E. Ortiz,[9203023]
 F. Ruiz Ruiz,"[9203023, 9206007]"
T.M. Samols,"[9203023, 9501117]"
J. Lopez,[9203025]
 D. Nanopoulos,[9203025]
K. Yuan,[9203025]
M. Blau,"[9203026, 9305010]"
C.K. Zachos,[9203027]
Andrea Pasquinucci,"[9203028, 9204052, 9208076, 9210105, 9405100, 9602026, 9608022, 9809173]"
Kurt Haller,"[9203029, 9407090, 9409133, 9610146, 9612047, 9808028, 9808044, 9907176, 4205, 5024, 112241, 112242, 201069]"
Edwin Lombridas,[9203029]
Ivan K. Kostov,"[9203030, 9304069, 9308158, 9410164, 9501135, 9506022, 9509124, 9611011, 9703189, 9907058, 9907060, 5190, 107247, 208034, 212194]"
Matthias Staudacher,"[9203030, 9208042, 9301038, 9401062, 9709101, 9803117, 9804199, 9809079, 9902113, 9904111, 9911170, 4076, 6234, 108182, 111290]"
Roger Brooks,"[9203032, 9212144, 9505116, 9512003]"
Kanehisa Takasaki,"[9203034, 9206030, 9207081, 9212103, 9301070, 9301090, 9305053, 9305169, 9403190, 9901120, 9905224, 5194]"
C. Gomez,"[9203035, 9205109, 9206001, 9405071, 9411056, 9501036, 9505135, 9506024, 9512017, 9604043, 9604057, 9608104]"
 G. Sierra,"[9203035, 9205109, 9206001]"
G.Aldazabal,[9203036]
 J.M.Maldacena,"[9203036, 9209010]"
I. T. Ivanov,[9203037]
D. B. Uglov (SUNY Stony Brook),[9203037]
F. De Jonghe,"[9203038, 9206097, 9301122, 9302050, 9310166, 9505174, 9507046, 9510176, 9607203]"
 R. Siebelink,"[9203038, 9206097, 9301122, 9306135, 9512143, 9710212, 9801200, 9805105]"
W. Troost,"[9203038, 9301122, 9306033, 9306135, 9812207]"
Mikhail V. Saveliev,"[9203039, 9305152, 9311035, 9312040, 9504131]"
Julian Barbour,[9203041]
B. Birnir,[9203042]
 S.B. Giddings,[9203042]
 J.A. Harvey,[9203042]
 M.Olshanetsky,[9203044]
E.S. Fradkin,[9203045]
V.Ya Linetsky,[9203045]
F.Alexander Bais,"[9203046, 9203047, 9303150]"
 Peter van Driel,"[9203046, 9203047]"
Mark de Wild Propitius,"[9203046, 9203047, 9511195, 9511201, 9606029, 9609049, 9704063]"
Dan Christensen,[9203050]
Robert B. Mann,"[9203050, 9604118, 9609085, 9709064]"
A.Galperin,[9203051]
E.Sokatchev,[9203051]
S. W. Hawking,"[9203052, 9702045, 9709066, 9711042, 9807100]"
M.Carfora,[9203053]
 M.Martellini,"[9203053, 9210088, 9302011, 9409037, 9605018, 9705123, 9706050]"
A.Marzuoli,[9203053]
L. Susskind,"[9203054, 9306069, 9307168, 9308100, 9401070, 9405117, 9409089, 9410074, 9703102, 9705190, 9805114, 9805115, 9806039]"
G.Bonacina,[9203055]
 A.Gamba,"[9203055, 9402030, 9502110]"
M.Martellini,"[9203055, 9211136, 9402030, 9409118, 9410222, 9502110, 9507003, 9602103]"
Daniel Cangemi,"[9203056, 9204008, 9204101, 9210036, 9302026, 9307160, 9409113, 9506085, 9605208, 9610021]"
Roman Jackiw,"[9203056, 9204056, 9204057, 9206092, 9206093, 9206094, 9210036, 9302026, 9602122, 9604040]"
Matt Visser,"[9203057, 9204062, 9303020, 9303023, 9303029, 9307194, 4022, 4056, 9032]"
J. Distler,"[9203058, 9205100, 9212062, 9309110, 9605222]"
 M. Doyle,[9203058]
R. Plesser,[9203060]
Gregory Moore,"[9203061, 9304011, 9308052, 9310026, 9403058, 9404025, 9602154, 9603167, 9605033, 9609017, 9610237, 9611176, 9708086, 9709193, 9710198, 9710230, 9712062, 9802185, 9804104, 9807056, 9807087, 9808131, 9811214, 9903267, 9912279, 9030, 9148, 10108, 12007, 12104, 101199, 111154, 206092, 212059, 304018]"
Didier A Depireux,"[9203062, 9210080]"
Dileep P. Jatkar,"[9203063, 9508044, 9512157, 9601118, 9606009, 9702031, 9904187, 7078, 104229, 107075, 110172]"
C. Destri,"[9203064, 9203065, 9210027, 9303052, 9407117, 9701107]"
H.J. de Vega,"[9203064, 9203065, 9209047, 9210056, 9211114, 9303043, 9304002, 9304085, 9309016, 9312085, 9312115, 9402053, 9405023, 9406135, 9410219, 9502049, 9504098, 9505029, 9505158, 9506214, 9512074, 9701107]"
S. Cecotti,"[9203066, 9211097]"
C. Vafa,"[9203066, 9210009, 9211097, 9407025, 9501096, 9508155, 9510225, 9511222, 9601029, 9607139, 9609071, 9706110, 9711013, 9712048, 9803015, 9903226, 9912152, 1029, 11256, 12136, 108120]"
Ralph Lano,[9203067]
Lev Rozansky,"[9203069, 9209073, 9303099, 9401060, 9401061, 9403020, 9403021]"
 Herbert Saleur,"[9203069, 9208061, 9209073]"
I. Antoniadis,"[9203071, 9204030, 9205015, 9211055, 9212045, 9212140, 9301002, 9301033, 9305025, 9307002, 9307158, 9310151, 9402073, 9403191, 9405024, 9411012, 9504034, 9509009, 9510079, 9510112, 9511108, 9512006, 9604062, 9604077, 9608012, 9609209, 9611145, 9703076, 9705037, 9706211, 9707208, 9707222, 9708075, 9709023, 9807011, 9812093, 9812118, 9902055, 9906039, 9907184, 9908023, 9908137, 9909212, 9911205, 11281, 102202, 108005, 111209, 201166]"
